altitude_rate,airspeed_deviation,phase
-27.703487155755656,1.4612845146983848,1
-940.3230974720374,-11.929224891910959,0
-2058.0637900966676,-4.62472461795061,0
1926.9427109779308,13.345268407590162,2
-1427.0058497877196,-20.270448685944167,0
1788.5143536502073,15.298739079782345,2
-1148.3853080831068,-5.3282390738386205,0
-2136.4869314845864,-17.550779002550108,0
1928.0078167950192,11.476586218966597,2
-81.26831385665942,-0.42222653489954254,1
-129.25465085985044,-1.0230989575075373,1
-1634.3030737592123,-15.964152369191176,0
1132.5686796001773,15.437840608942746,2
-1495.2777996132884,-11.880452480170558,0
1367.9572433237236,13.432033703868136,2
802.7420193510284,18.546837819170747,2
-1678.5391314889484,-17.8588323783413,0
57.63499131219037,0.19350883407620967,1
1724.8422017205392,12.616099696332473,2
-1619.3774444668056,-13.516997465188904,0
-1287.32292477325,-8.209920479828444,0
89.65427263816848,0.2566440688514163,1
-1534.3135494398118,-10.929199574576705,0
-118.02485034454894,7.050549239775435,1
1770.3513081134447,11.642861255285213,2
169.2547857803029,-4.371597700324703,1
1648.6199288223336,4.82254120999857,2
-25.87489973780634,-1.1480949748282074,1
55.61618893172979,6.060388638014517,1
98.1613783226177,-1.6656203172183262,2
-2140.1040734910484,-16.839420831027155,0
-1360.7474899334645,-13.685341883359166,0
-1349.1668852962923,-16.873254642528195,0
51.15453358996987,3.059396981837126,0
-88.33627628238987,2.656712820505064,1
-1920.5879360521308,-27.554344569837856,0
-1597.8966746707417,-11.760357227817101,0
-1383.146086410509,-15.43495485115189,0
20.18535119967086,-3.4144196548960033,1
63.66856973677968,4.1983200865431725,1
1092.5310005160586,13.614368724906482,2
1747.2744321588577,18.318960337415348,2
-913.8868157282499,-14.1008706410674,0
85.3822825457517,3.234404679407836,1
-1594.6322265722054,-20.210785200437613,0
63.24285427063376,3.082324631592453,1
-1482.2642108396235,-15.324013125126761,0
-1141.4383340831573,-14.45589120785963,0
-1141.7069200957553,-13.359365290647757,0
-1608.7977250621188,-16.27124063109634,0
52.44086879313199,4.30763294410383,1
74.5187419769196,-1.0801880765486536,1
1530.6086591234862,5.4133860316776214,2
-72.07383635400434,1.4272914456209556,1
-4.661773473529326,-0.7884513795405094,1
1438.8156507034087,10.032211870956953,2
-1515.3141170198357,-15.92539270738505,0
-1764.2887984286986,-13.453362100276214,0
-33.49710329378904,1.5426952021018063,1
-2118.408872450368,-10.992802161781405,0
62.01466169777985,2.692111762793615,1
1278.9935428784765,10.9033720808371,2
-1181.0143856626778,-10.676506078259791,0
-1829.7844136923775,-25.535713579278738,0
1635.1846484469056,13.863997569726282,2
-2122.7088253772226,-13.748387346852924,0
1736.5321966452252,17.647603286754755,2
67.23219933985781,1.52143350329769,1
30.116417798130765,1.9066155032263064,1
-1618.0404215358667,-23.106567190204842,0
-1125.035103178783,-15.04482757655069,0
-160.51613901697897,2.641290447288344,1
1480.73693925497,3.2839037278539482,2
1824.8180000568145,14.929447538087508,2
1917.339077073748,8.94711468599355,2
