temperature_C,oil_pressure_psi,true_state
79.9409895532411,606.3427107484016,1
76.16293271146729,741.0014803810245,1
77.41202741370671,1603.091380655301,1
20.45230967435826,1086.728055313933,0
80.91784857540877,1737.5747566213422,1
66.12210296550779,1606.6811274593865,1
77.43380694571871,1715.7466222678822,1
25.52749525248461,1651.76160244088,0
16.96842779678132,1440.5789722600198,0
70.60136661662264,1082.3825833204587,1
81.00811700737252,1123.2921027990747,1
21.774872717261264,1093.113172587744,0
78.30562923957304,1504.5681650919873,1
22.062448970434797,1305.5479632888057,0
71.38997397422683,1363.9230346490447,1
73.84685816749072,1546.5331734600175,1
77.16452335287217,1238.7349292279805,1
85.29006974787892,1771.096959820482,1
21.59672151046923,1153.5299663301905,0
79.32342481980348,1641.9166330202272,1
30.23298642751964,1208.7667768984702,0
26.02663492284905,2017.3971424058213,0
74.54088820399231,1304.6254596078788,1
73.58121078816129,2037.1648356491232,1
20.38530033440096,1554.8234917582975,0
23.8545354565393,918.921365639588,0
71.0675922893669,1016.7953597195083,1
72.18898016071519,924.4479385609579,1
83.04370444960206,1212.6297208402168,1
77.60616248257584,1699.7828061626255,1
23.120653966005094,1458.9289321945882,0
75.36320009444019,1329.2563225708816,1
19.901526391937978,1079.3524636926197,0
17.313981877805446,1810.7622985282478,0
76.47743223879962,1226.1202105107463,1
28.644952178275787,1598.5372137362926,0
18.755188311244478,1479.8540071646057,0
26.4658045862862,2542.975369255946,0
25.953553499349702,1594.0375473988452,0
25.058720559558846,1590.6411869295919,0
19.211981694339936,962.8419035605002,0
27.26061351523908,811.2750594703257,0
73.49558323776166,2441.450519500164,1
25.35147054832291,1786.0681970914663,0
25.82164210784504,359.2446739793245,0
23.192196080585965,2285.6610463167644,0
66.78095476929883,1323.971330839702,1
76.04301753656466,778.9970106799783,1
28.483291081466554,1713.8754864526745,0
86.06974356812904,1433.8645122931055,1
71.30608088026679,2033.1317787093335,1
30.204633394608123,1022.4185901111991,0
74.8510029897915,1648.6405252483885,1
19.666102725063197,1372.080485695145,0
77.64779035772207,1929.0017326092488,1
68.91120289923428,2128.822088537137,1
27.12277575209893,1387.065152521914,0
22.58912254787911,675.9146715652735,0
79.33834556585538,1498.6732598442977,1
24.77959160383084,1851.596440384807,0
79.19799442345328,1733.810218947623,1
25.92664177694607,1618.1293047868242,0
20.74576108226113,1506.6944671906567,0
76.96918764775215,1777.0374483599169,1
75.37071778411601,805.7751987075715,1
19.599603527494317,1917.4039873837482,0
23.730853098990238,1810.139213703102,0
68.56477316292012,1154.3660898622527,1
25.79352464250576,1284.0497538100522,0
68.67133193549233,1151.7925517405354,1
25.78041589257155,1587.1279131638628,0
33.82610122856161,1477.2726319252793,0
73.03383669537133,1386.5586240175433,1
65.49083803308008,1620.369752357416,1
23.487842833074094,2335.138047668866,0
78.98215731265073,1510.5657457015018,1
21.025208491574066,1798.6219537993616,0
32.66577950694164,1664.014996716134,0
24.623221698596666,1849.0713018254955,0
72.85965138649316,1727.6416675648552,1
72.84185927231545,1074.6438350613294,1
67.55006098950082,1493.772446592839,1
27.207435086125166,1603.9282831104472,0
21.76349606023584,1417.6868011600732,0
27.637936857007585,1202.6127163384497,0
22.144722011125154,714.2056418015513,0
26.56181972821553,1484.554590019307,0
27.327401757228316,1135.8799535912044,0
27.47642007385941,1347.989575400604,0
23.934345863699292,537.5907829800076,0
75.55282051741312,1086.0883011376036,1
24.86210053986147,885.5479853164836,0
19.941832032208342,1650.2702286384615,0
79.56101312377712,1903.1115803477771,1
21.515135711896743,1036.3588445586577,0
25.129480402908122,935.6352174453044,0
69.8523702378545,968.9754684530699,1
22.04649367649157,716.3095584359378,0
81.1995622645165,1287.7066396597152,1
29.755136457415496,955.6275619137118,0
71.39155544727579,1799.8696079487956,1
27.63518947346477,2110.8731361030896,0
24.86682104193225,2041.6916418740057,0
79.91750287060042,1278.01071251476,1
71.53624046467085,1120.9771173614768,1
65.46644518817055,1404.6865670877462,1
25.897189228726376,969.7710855427938,0
21.878266181422195,1574.1833343829671,0
74.84360431513379,982.4223714125432,1
28.858202728957334,1330.8515670226254,0
26.276379336094298,1738.5216249230918,0
72.4231669984542,1326.680977429096,1
27.64177026619375,1002.2659566019522,0
70.59735494306256,1715.5631533532958,1
85.1276187109687,1592.1337183525518,1
30.603527441251867,1195.175432272349,0
36.2505969929549,1898.88456845698,0
67.63046215187731,1158.1605535281838,1
67.61465195551808,1314.290022978214,1
77.789953247684,1545.2036990858066,1
21.856093568274577,1299.1748738386575,0
72.40294832155945,1360.7705725869969,1
69.42531006253532,1077.602556467281,1
77.44337966564342,1575.0622694137226,1
21.61302362846392,1692.5969631763737,0
73.90518401672892,1365.3181196631506,1
25.225646268678283,2200.3852406360616,0
24.887928860417023,1427.0685032250838,0
76.91044291902708,1322.0080455520852,1
75.28045263493287,1348.1055187245988,1
23.542490828427034,1774.6277423427152,0
17.767423812517016,1078.1893479100745,0
78.16157390786469,1226.3198266964457,1
21.807386568980665,981.0851414464757,0
74.9326531050663,1169.260610740675,1
72.02006824509743,1942.7052629855853,1
