feature_1,feature_2,label
2.1755886979454457,1.5592956097533381,0
1.0286607326672959,0.7220951113802379,0
1.4516163504821573,2.0076916243053082,0
1.8609173217737294,1.6491835192293351,0
4.8105878460004075,3.5907121011588865,1
3.0525269425194885,1.8890531427272175,0
4.834338700678859,3.9165851632613444,1
4.978145615159685,4.678807707407962,1
4.964031406852728,4.746346713418071,1
3.5108909448166616,4.320085676669835,1
0.6006219720404959,1.7991418085571893,0
0.8701953377647313,1.0515095556261507,0
5.549721390824303,5.433898196650989,0
2.9716023466958705,2.6179876050822264,0
2.602716369514783,2.277171357995251,0
2.7363952872092865,1.282796007277656,0
2.045726007366867,0.5309712315733277,0
0.7761551435587939,1.7472941503817052,0
2.304155827803466,1.9121160319327346,0
3.722362804906533,2.295226402720292,0
1.3568650610490463,1.612771911153269,0
6.367235927733492,7.008226647128465,1
5.715363368162548,4.498644949776142,1
4.58454466665306,5.3463994406955235,1
6.857192678540145,5.475243647176513,1
2.6376198222973146,2.974020760987187,0
5.468913318364655,6.516228604438413,1
5.2639081331758275,3.31109260312758,1
4.0700358497260405,4.930565557687486,1
5.833983048180319,3.419875197149282,1
0.31754210871591115,0.9201945550224098,0
4.552375911269273,5.4313299389701655,1
2.3280939267877176,1.7055537741221647,0
3.6787002108575555,5.388644164869627,1
1.722923743437649,2.0141551602850285,0
2.92150117303854,2.950924748623513,0
3.2759811998279726,2.885303597228777,0
1.5039637030187851,1.8248133493433922,0
1.2586190302940465,1.4955744190132925,0
1.521047986718722,1.5122532972331506,0
1.033231637321409,3.0307458151261715,0
2.592823101858762,0.7216049857977751,0
3.7878563890207055,4.324153358201599,1
5.543146286836226,5.6890845809810004,1
4.107801947193218,2.370087352056087,1
4.294860489979642,5.3197821831050405,1
5.574493733933329,5.775729856837753,0
5.867213408433351,5.764551317392718,1
3.0102275536584977,4.13758231530092,1
3.7165028854862907,2.7862381982162403,0
4.794362944257598,4.256046741396018,1
3.0151488805170916,2.343236856837415,0
5.830060642955976,5.624396688883149,0
5.197953545279819,4.614273188473637,1
1.7933236329889792,0.8083287052645374,0
1.145694492359162,2.0412997356735074,0
5.088745729357724,5.695036885466432,1
3.0944177011183975,3.331366312664348,0
5.404214058537336,5.1677676385728235,1
5.703487865708009,6.6920197285594725,1
6.326932453280863,6.6007362986043825,1
5.453202571254998,4.106400022475432,1
4.156277082320207,3.922151545037294,0
6.186071814732952,6.663106941959411,1
1.1487913035488548,2.338413308836498,0
6.494872294990756,6.527567520244027,1
2.8280474642585394,2.246326115056293,0
5.397880049602691,4.457349834101474,1
1.2645316134098414,1.819891841918417,0
6.021632845976703,5.637082735958787,1
4.273655492383556,4.281937402341482,1
